phi_R,phi_N,mean_R,mean_N,q_R,q_N,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,mu,epsilon,sample_size
1.0,0.0,9.982682302734668,0.0,100.64579877533741,0.0,0.0,0.0,0.0,0.0,0.1000018648188744,0.0,1.9429957647274256,0.0,0.9918528180054852,0.0,0.0,0.0,1.2043089142350703e-17,5.2318202528243816e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,3e-06,1e-06,10
1.0,0.0,9.980379155793957,0.0,100.58823620443357,0.0,0.0,0.0,0.0,0.0,0.11095780301683249,0.0,2.2310842400544253,0.0,0.9802681110270849,0.0,0.0,0.0,1.0041129695556871e-17,7.663764624064e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,5.1037628395577675e-06,1.7012542798525892e-06,10
1.0,0.0,10.01254144093832,0.0,101.33146413403642,0.0,0.0,0.0,0.0,0.0,0.07793080399250288,0.0,1.5467179190742661,0.0,1.0804780275292292,0.0,0.0,0.0,1.3561963758349776e-17,7.64101384297457e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,8.682798374150256e-06,2.894266124716752e-06,10
1.0,0.0,9.982682302734656,0.0,100.64579877533716,0.0,0.0,0.0,0.0,0.0,0.10000186481887266,0.0,1.9429957647273994,0.0,0.9918528180054759,0.0,0.0,0.0,1.2043127687374723e-17,5.231850174778153e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,1.4771647895120225e-05,4.923882631706742e-06,10
1.0,0.0,9.980379155793925,0.0,100.5882362044329,0.0,0.0,0.0,0.0,0.0,0.11095780301682724,0.0,2.2310842400543165,0.0,0.9802681110270621,0.0,0.0,0.0,1.0041252806719176e-17,7.663854626401683e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,2.513032920204877e-05,8.376776400682924e-06,10
1.0,0.0,10.012541440938287,0.0,101.33146413403576,0.0,0.0,0.0,0.0,0.0,0.07793080399252289,0.0,1.5467179190746259,0.0,1.0804780275291954,0.0,0.0,0.0,1.3562152835608721e-17,7.641155066647711e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,4.275308010908998e-05,1.4251026703029993e-05,10
1.0,0.0,9.982682302734608,0.0,100.64579877533616,0.0,0.0,0.0,0.0,0.0,0.10000186481886644,0.0,1.9429957647273015,0.0,0.9918528180054307,0.0,0.0,0.0,1.20433239275088e-17,5.231999217577006e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,7.273386051246992e-05,2.424462017082331e-05,10
1.0,0.0,9.980379155793763,0.0,100.58823620442956,0.0,0.0,0.0,0.0,0.0,0.11095780301680438,0.0,2.231084240053815,0.0,0.980268111026949,0.0,0.0,0.0,1.0041874889106703e-17,7.664305279635336e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.00012373879148704043,4.124626382901348e-05,10
1.0,0.0,10.012541440938115,0.0,101.33146413403213,0.0,0.0,0.0,0.0,0.0,0.07793080399261515,0.0,1.5467179190763911,0.0,1.0804780275290278,0.0,0.0,0.0,1.3563144347616117e-17,7.641875954238207e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.00021051114860111511,7.017038286703837e-05,10
1.0,0.0,9.982682302734341,0.0,100.6457987753306,0.0,0.0,0.0,0.0,0.0,0.10000186481883071,0.0,1.9429957647267027,0.0,0.9918528180051992,0.0,0.0,0.0,1.2044468248570624e-17,5.23279118372767e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.0003581329925143311,0.00011937766417144369,10
1.0,0.0,9.980379155792876,0.0,100.58823620441129,0.0,0.0,0.0,0.0,0.0,0.11095780301668377,0.0,2.2310842400512665,0.0,0.9802681110263649,0.0,0.0,0.0,1.0045347427777244e-17,7.66672390523433e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.000609275286271421,0.00020309176209047368,10
1.0,0.0,10.012541440937024,0.0,101.3314641340094,0.0,0.0,0.0,0.0,0.0,0.07793080399305496,0.0,1.546717919084682,0.0,1.0804780275281283,0.0,0.0,0.0,1.3569517820993095e-17,7.646058663353672e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.0010365321883776665,0.0003455107294592222,10
1.0,0.0,9.991054934389865,0.0,100.88176214959533,0.0,0.0,0.0,0.0,0.0,0.09232976830053495,0.0,1.8159830495754363,0.0,1.0605834475992628,0.0,0.0,0.0,1.581425028464516e-17,6.837914248024271e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.0017634048216824735,0.0005878016072274912,10
1.0,0.0,9.9947706638914,0.0,100.86638370903236,0.0,0.0,0.0,0.0,0.0,0.07569402590263183,0.0,1.5040654335972012,0.0,0.9709430852482438,0.0,0.0,0.0,1.1708416928911865e-17,4.187455694806575e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.003,0.001,10
1.0,0.0,9.99638135361865,0.0,100.86480732946428,0.0,0.0,0.0,0.0,0.0,0.09700601052438015,0.0,1.9556642864954341,0.0,0.9371671624896424,0.0,0.0,0.0,1.1150526503415795e-17,6.8773274004855166e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.0051037628395577675,0.0017012542798525892,10
1.0,0.0,9.991054934358454,0.0,100.8817621489566,0.0,0.0,0.0,0.0,0.0,0.09232976830573282,0.0,1.8159830496808331,0.0,1.0605834475881828,0.0,0.0,0.0,1.6019344681042302e-17,6.96461523801057e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.008682798374150254,0.0028942661247167516,10
1.0,0.0,9.994770663805214,0.0,100.86638370728217,0.0,0.0,0.0,0.0,0.0,0.07569402589796456,0.0,1.5040654334961743,0.0,0.9709430852208321,0.0,0.0,0.0,1.2203978848245e-17,4.301017275762716e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.014771647895120225,0.004923882631706742,10
1.0,0.0,9.996381353326488,0.0,100.86480732354566,0.0,0.0,0.0,0.0,0.0,0.09700601049991231,0.0,1.9556642859398974,0.0,0.9371671624121614,0.0,0.0,0.0,1.268091808052638e-17,7.799595860843792e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.025130329202048773,0.008376776400682925,10
1.0,0.0,9.991054932633977,0.0,100.88176211431895,0.0,0.0,0.0,0.0,0.0,0.09232976836329868,0.0,1.8159830504154189,0.0,1.060583447409209,0.0,0.0,0.0,3.233673799082204e-17,1.5780914666633565e-17,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.04275308010908997,0.014251026703029992,10
1.0,0.081,8.768461158850217,10.441850361205626,79.47843725309627,3399.6279451369437,8.1,1.972308292331602,0.0,0.01972308292331602,0.2864775921317888,1.962041593573093,4.778668187740983,1079.220965053355,2.5925261588313897,3290.5957061711338,955.6809075211282,181.91955499995757,3.4438907294268466,1.2997471899415332,0.00035093360360015407,0.001758803958904998,0.0016050208975416647,-141.1788824146068,-141.1788824146068,0.9189999999999999,quadratic,100,0.07273386051246993,0.02424462017082331,10
1.0,0.20299999999999999,6.0434522347624515,21.28172888490854,41.73838279973363,3947.4410991933414,20.3,2.72213151776324,0.0,0.0272213151776324,0.25930352377484306,1.0463797712252023,3.3061821643221685,509.3791566066684,5.215067885878362,3494.529114862591,1974.5424999709217,95.18561979492813,20.70782828325352,2.5243971828205747,0.0006345086957638152,0.0016777874298013688,0.0017599646179363604,-143.99919356181195,-143.99919356181195,0.797,quadratic,100,0.1237387914870407,0.041246263829013564,10
0.9679999999999997,0.33099999999999996,3.8678520744614526,20.378382272052622,19.830400710522753,2286.1676124504893,33.1,3.3600595232822887,0.012489995996796807,0.03360059523282289,0.11124468398088459,1.0072456660454938,1.0870019811471732,244.7576545734255,4.870121040606992,1870.8891484245808,1959.9912603198386,80.95480018902218,42.01320095973486,1.969295908588427,0.0010188454131199957,0.0025042532408592047,0.0030430090711382226,-103.71722524924519,-103.71722524924519,0.6369999999999999,quadratic,100,0.21051114860111508,0.07017038286703836,10
0.8869999999999999,0.4069999999999999,2.436013087957666,15.940976465043695,9.470484999224396,993.8863037310146,40.7,3.4655446902326914,0.02410394158638792,0.034655446902326914,0.07221732026997582,0.5932980277690926,0.6761069189293469,116.32678460051963,3.5363252345233533,739.7715730719376,1536.8680429385636,60.34346801902224,61.28034353950134,1.839509385920262,0.001602244830321955,2.7207017523274636e-05,2.5896008579148836e-05,-59.02165646196475,-59.02165646196475,0.48,quadratic,100,0.3581329925143315,0.11937766417144383,10
0.7859999999999999,0.4579999999999999,1.5279438819323476,11.309001525887824,4.475165884114492,443.0796316410365,45.8,5.035871324805669,0.04340506882842141,0.05035871324805669,0.10579234478119443,0.4683769812072606,0.8556265533410146,35.437698148458175,2.1405533777800008,315.18611612850333,1098.9400057046237,46.31147104047501,73.16071644312917,1.8039566194170877,0.0027313185620059938,0.0016704109280735707,0.0024011935580460705,-33.46071363458321,-33.46071363458321,0.328,quadratic,100,0.6092752862714217,0.2030917620904739,10
0.671,0.48,0.934096347567129,7.843573522023612,2.0094322454442506,212.82542346342225,48.0,2.898275349237888,0.02879236009777592,0.028982753492378884,0.048133311140896515,0.34071639324263625,0.29452181511853104,26.07570421756985,1.1368962589059999,151.30377786803237,757.2359810249777,27.83507562356489,84.25747839937083,2.6037112653316696,0.003161683452839194,2.944477407529324e-05,3.224488234930852e-05,-20.08651212638183,-20.08651212638183,0.191,quadratic,100,1.0365321883776655,0.34551072945922184,10
0.6010000000000001,0.48100000000000004,0.5559272249883421,4.991650130255018,0.7935704213540526,86.1530626246379,48.1,3.477067730142742,0.0391024295920343,0.03477067730142743,0.022744920619263708,0.20081363984121797,0.06379062625174427,11.205252061854415,0.4845153418708138,61.23649160176296,486.8826963692289,20.37968168949296,90.23632730266705,1.0366783039418697,0.005721417099862085,0.012740692065609228,0.01025876786280593,-11.029087897450262,-11.029087897450262,0.12,quadratic,100,1.7634048216824736,0.5878016072274912,10
0.5559999999999999,0.49799999999999994,0.32774380828070726,3.143837780245876,0.30371781367541956,31.467781976171516,49.8,4.019950248448356,0.040546269865426574,0.04019950248448358,0.023353418082791434,0.16332716820343043,0.057640180356632764,4.499422460393163,0.19630180980907858,21.5840659876702,302.742182815657,18.874337173048,94.57739504155157,1.9012030400689424,0.004392689795052165,0.0020575258134848907,0.001314372715413611,-7.9212926439607285,-7.9212926439607285,0.05800000000000003,quadratic,100,3.0,1.0,10
0.52,0.483,0.19144376286560486,1.8800390490826462,0.11368177544741885,11.765578636986595,48.3,4.050925820105819,0.04939635614091387,0.040509258201058204,0.008832781270464623,0.07428505176588385,0.01842048872971115,1.2202593910354604,0.07703106110727691,8.231031810911015,185.0581731203825,8.318395226404967,96.94606024221277,2.5051681936889194,0.012526988236706898,0.0036883902743250667,0.005271196957616936,-3.4880048090131175,-3.4880048090131175,0.03700000000000013,quadratic,100,5.103762839557767,1.7012542798525891,10
0.541,0.504,0.11668897258961776,1.174095144092493,0.04134073985406696,4.264342466983372,50.4,1.8000000000000003,0.025079872407968884,0.018000000000000016,0.004987466885519255,0.04508031080693722,0.005078349032147809,0.3401423588867567,0.027724423530046394,2.8858430596018008,115.19247134341472,4.562660253700421,99.43113253627108,2.510521144443027,0.030021134408271248,0.019330213156324015,0.01660277073721505,-2.6036806395794985,-2.6036806395794985,0.03700000000000021,quadratic,100,8.682798374150256,2.8942661247167516,10
0.508,0.48599999999999993,0.06808894650546174,0.6964298309634471,0.014775074766433995,1.5818176859379478,48.6,4.054626986542659,0.04044749683231337,0.040546269865426594,0.0048542389036052925,0.040439101570912725,0.002264738941157902,0.1655188519324368,0.010138970130210364,1.0968031764821722,68.05395553174188,4.675046357100729,99.40660299456827,1.3419214887924404,0.07476531799831407,0.02710427577663615,0.02651572367158227,-0.62022645056947,-0.62022645056947,0.02200000000000001,quadratic,100,14.771647895120225,4.923882631706742,10
0.506,0.496,0.03835282733338481,0.39620045741311083,0.004552680284361671,0.4889007696470229,49.6,2.009975124224178,0.024979991993593614,0.02009975124224179,0.0024571191200433236,0.018929752605916488,0.0006694825639062512,0.05982673417266539,0.003081740919897242,0.33192596719266465,38.55999236875118,2.194030408015772,99.28388262047557,2.0245243134445077,0.09986757078151812,0.02282961793357291,0.021503384250694767,-0.5344034492169631,-0.5344034492169631,0.009999999999999993,quadratic,100,25.130329202048774,8.376776400682925,10
0.505,0.5,0.022777531505223172,0.23556043668935261,0.0016392514023681572,0.17418168848996324,50.0,4.58257569495584,0.045442271070007055,0.045825756949558406,0.0013684205895744504,0.012856711332385149,0.000223190934176146,0.028742068334538958,0.001120435460896723,0.11869296915668474,22.86222705509088,1.341741392424078,100.16352023541472,1.655343563139185,0.29486917727064255,0.04669525253837748,0.0384173999068549,-0.11655857222347658,-0.11655857222347658,0.005000000000000001,quadratic,100,42.75308010908998,14.251026703029993,10
0.4789999999999999,0.4789999999999999,0.013483218554122616,0.1397031033241841,0.0006066123383221368,0.06314823961478373,47.9,2.467792535850613,0.02467792535850614,0.02467792535850614,0.0007896008306947503,0.008058431682091059,8.82420533288811e-05,0.005700321068833345,0.0004248151557439004,0.043631282536376076,13.643660713980703,0.870236832581547,100.47733415163536,1.6463244744373247,0.38267284798787754,0.0262131794145338,0.028176636391454752,-0.7411343905789276,-0.7411343905789276,6.771764120607913e-17,quadratic,100,72.73386051246992,24.244620170823307,10
0.491,0.489,0.008170039972084446,0.0840217938941955,0.0002196245631777904,0.022022758450695266,48.9,3.419064199455752,0.0338969025133566,0.03419064199455753,0.0004756625661179964,0.00515849397426815,4.155068722645815e-05,0.0024836789424891007,0.00015287501003233278,0.014963096601496598,8.281035128089314,0.46325482367587195,100.51356517559671,1.2016259791581911,1.4887497079045893,0.06905653954830565,0.06565114406819278,-0.01946298179207045,-0.01946298179207045,0.0019999999999999996,quadratic,100,123.73879148704069,41.246263829013564,10
0.49399999999999994,0.49399999999999994,0.004704674732349404,0.049353054524664944,6.819041093499733e-05,0.00755138339373594,49.4,3.2310988842807022,0.03231098884280703,0.03231098884280703,0.00020119100011366784,0.0026881353498648653,5.2167836210032775e-06,0.0008918139189112148,4.6056446597790386e-05,0.005115659402821389,4.815439645144311,0.23426400189351257,101.38913732156604,2.7404722695259838,2.4447830693366033,0.07772459029193922,0.06742063813470921,-0.009803417804270307,-0.009803417804270307,0.0,quadratic,100,210.5111486011151,70.17038286703837,10
0.504,0.504,0.002762726887579463,0.02882167143445707,2.3163300325304747e-05,0.0025135773224181385,50.4,2.6907248094147422,0.026907248094147435,0.026907248094147435,0.00014700260397988683,0.0014058886773165309,3.2952413760321783e-06,0.0002508459092611295,1.553064046995024e-05,0.0016828885781423396,2.79650625556232,0.1461657272244077,100.4354282693532,2.610783562646586,8.385804492968818,0.13555654178414833,0.1465230369244318,-0.0036614411976995873,-0.0036614411976995873,0.0,quadratic,100,358.1329925143307,119.37766417144357,10
0.476,0.475,0.001611375638065604,0.016811417650909124,8.27222309188613e-06,0.0009462727198977993,47.5,2.9068883707497264,0.029732137494637014,0.02906888370749727,9.257645970022525e-05,0.0009121806568834235,1.1241132393951625e-06,0.00014746749911476628,5.675691644934799e-06,0.0006636489564645005,1.656164785935599,0.09355186319757963,101.68928854692498,2.7659171963243154,26.791261947427614,0.19034828803667997,0.13879789920050783,-0.002448213611704582,-0.002448213611704582,0.001000000000000001,quadratic,100,609.2752862714217,203.09176209047388,10
0.48500000000000004,0.48500000000000004,0.000963605510900385,0.01011933580806453,3.0797705106102225e-06,0.00034263175217289984,48.5,3.0740852297878796,0.030740852297878807,0.030740852297878807,3.56136466501891e-05,0.0002853266648484837,2.0464038219003602e-07,3.245489743583359e-05,2.1512349299726304e-06,0.00024023079497652284,0.9907410096546556,0.032050274222656897,101.86664822160665,2.0603796399117877,125.35859096578501,0.8357791643351957,0.9549015289682755,-0.00019659566871541769,-0.00019659566871541769,0.0,quadratic,100,1036.5321883776655,345.5107294592218,10
0.5,0.5,0.0005691738555977779,0.005946853082328983,1.0371490326799065e-06,0.00011080875899971573,50.0,3.63318042491699,0.036331804249169895,0.036331804249169895,3.453716798553256e-05,0.000382095957658181,1.8635868051743394e-07,1.9870169585490925e-05,7.131901547838664e-07,7.544369741691e-05,0.578104396135793,0.031551973729732036,100.94191336483112,1.9208338816005366,252.7780972537561,1.1522015398180023,1.1611875543506545,-9.331578045399517e-05,-9.331578045399517e-05,0.0,quadratic,100,1763.4048216824772,587.8016072274924,10
0.49000000000000005,0.49000000000000005,0.00033396144483331056,0.003467956032677499,3.536557743314844e-07,3.900590017326816e-05,49.0,3.9749213828703582,0.03974921382870359,0.03974921382870359,2.1371281842109078e-05,0.00022395661151738267,6.323696181625516e-08,7.311486369004198e-06,2.4212552769633206e-07,2.69791811286839e-05,0.3392183845454034,0.022643451666293737,100.02011115242173,2.308147838531282,600.382663129288,1.2755816871419807,1.1123183223134279,-4.248162552424966e-05,-4.248162552424966e-05,0.0,quadratic,100,3000.0,1000.0,10
